Country,Year,Electricity installed capacity in Total renewable energy (MW),Electricity installed capacity in Hydropower (MW),Electricity installed capacity in Wind (MW),Electricity installed capacity in Solar (MW),Electricity installed capacity in Bioenergy (MW),Electricity installed capacity in Geothermal (MW),Electricity export (GWh),Electricity import (GWh),Electricity final consumption (GWh),"Electricity generation, Total (GWh)",Electricity generated from fossil fuels (GWh),Electricity generated from nuclear power (GWh),Electricity generated from renewable sources (GWh),Electricity generated from hydropower (GWh),"Electricity generated from solar, wind, tide, wave and other sources (GWh)",Electricity generated from biofuels and waste (GWh),Electricity generated from geothermal energy (GWh),Population access to electricity-National (% of population),Population access to electricity-Urban (% of population),Population access to electricity-Rural (% of population),Electricity generation per Capita (KWh),Electricity final consumption per capita (KWh),,,,,,,,,,,,
Djibouti,2015,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,479.80,363.90,360.90,0.00,3.00,0.00,3.00,0.00,0.00,57.70,67.90,22.70,392.40,517.40,,,,,,,,,,,,
Djibouti,2016,0.40,0.00,0.00,0.40,0.00,0.00,0.00,0.00,488.10,373.20,370.20,0.00,3.00,0.00,3.00,0.00,0.00,58.70,68.60,24.70,396.10,518.00,,,,,,,,,,,,
Djibouti,2017,0.40,0.00,0.00,0.40,0.00,0.00,0.00,508.20,581.50,569.60,569.40,0.00,0.20,0.00,0.20,0.00,0.00,60.20,70.00,26.30,595.20,607.70,,,,,,,,,,,,
Djibouti,2018,0.40,0.00,0.00,0.40,0.00,0.00,0.00,498.30,604.00,30.10,29.90,0.00,0.20,0.00,0.20,0.00,0.00,60.60,70.70,25.10,31.00,621.80,,,,,,,,,,,,
Djibouti,2019,0.40,0.00,0.00,0.40,0.00,0.00,0.00,524.70,620.80,30.90,30.70,0.00,0.20,0.00,0.20,0.00,0.00,61.30,71.60,25.00,31.40,629.80,,,,,,,,,,,,
Djibouti,2020,0.40,0.00,0.00,0.40,0.00,0.00,0.00,564.90,640.60,31.70,31.50,0.00,0.20,0.00,0.20,0.00,0.00,NA,NA,NA,31.70,640.70,,,,,,,,,,,,
Egypt,2013,3452.00,2800.00,550.00,35.00,67.00,0.00,468.70,79.00,143323.00,157029.40,142468.00,0.00,14561.40,12940.00,1621.40,0.00,0.00,99.80,99.90,99.80,1748.50,1595.90,,,,,,,,,,,,
Egypt,2014,3452.00,2800.00,550.00,35.00,67.00,0.00,760.00,81.00,143120.00,171719.00,156206.00,0.00,15513.00,13822.00,1691.00,0.00,0.00,99.80,99.90,99.70,1870.30,1558.80,,,,,,,,,,,,
Egypt,2015,3662.00,2800.00,750.00,45.00,67.00,0.00,747.00,54.00,146452.10,186207.00,170549.00,0.00,15658.00,13432.00,2226.00,0.00,0.00,99.30,99.10,99.40,1985.60,1561.70,,,,,,,,,,,,
Egypt,2016,3676.00,2800.00,750.00,59.00,67.00,0.00,747.00,54.00,162275.00,194357.80,178641.00,0.00,15716.80,13490.80,2226.00,0.00,0.00,100.00,100.00,100.00,2031.10,1695.90,,,,,,,,,,,,
